,Population 2022,,,,
,,,,,
,,,,,
,Ranking,,Economy,(thousands),
,,,,,
IND,1,,India," 1,417,173 ",
CHN,2,,China," 1,412,175 ",
USA,3,,United States," 333,288 ",
IDN,4,,Indonesia," 275,501 ",
PAK,5,,Pakistan," 235,825 ",
NGA,6,,Nigeria," 218,541 ",
BRA,7,,Brazil," 215,313 ",
BGD,8,,Bangladesh," 171,186 ",
RUS,9,,Russian Federation," 143,556 ",
MEX,10,,Mexico," 127,504 ",
JPN,11,,Japan," 125,125 ",
ETH,12,,Ethiopia," 123,380 ",
PHL,13,,Philippines," 115,559 ",
EGY,14,,"Egypt, Arab Rep."," 110,990 ",
COD,15,,"Congo, Dem. Rep."," 99,010 ",
VNM,16,,Vietnam," 98,187 ",
IRN,17,,"Iran, Islamic Rep."," 88,551 ",
TUR,18,,Türkiye," 85,341 ",
DEU,19,,Germany," 84,080 ",
THA,20,,Thailand," 71,697 ",
FRA,21,,France," 67,936 ",
GBR,22,,United Kingdom," 66,971 ",
TZA,23,,Tanzania," 65,498 ",
ZAF,24,,South Africa," 59,894 ",
ITA,25,,Italy," 58,857 ",
MMR,26,,Myanmar," 54,179 ",
KEN,27,,Kenya," 54,027 ",
COL,28,,Colombia," 51,874 ",
KOR,29,,"Korea, Rep."," 51,628 ",
ESP,30,,Spain," 47,615 ",
UGA,31,,Uganda," 47,250 ",
SDN,32,,Sudan," 46,874 ",
ARG,33,,Argentina," 46,235 ",
DZA,34,,Algeria," 44,903 ",
IRQ,35,,Iraq," 44,496 ",
AFG,36,,Afghanistan," 41,129 ",
CAN,37,,Canada," 38,930 ",
UKR,38,,Ukraine," 38,000 ",
POL,39,,Poland," 37,562 ",
MAR,40,,Morocco," 37,458 ",
SAU,41,,Saudi Arabia," 36,409 ",
UZB,42,,Uzbekistan," 35,648 ",
AGO,43,,Angola," 35,589 ",
PER,44,,Peru," 34,050 ",
MYS,45,,Malaysia," 33,938 ",
YEM,46,,"Yemen, Rep."," 33,697 ",
GHA,47,,Ghana," 33,476 ",
MOZ,48,,Mozambique," 32,970 ",
NPL,49,,Nepal," 30,548 ",
MDG,50,,Madagascar," 29,612 ",
VEN,51,,"Venezuela, RB"," 28,302 ",
CIV,52,,Côte d'Ivoire," 28,161 ",
CMR,53,,Cameroon," 27,915 ",
NER,54,,Niger," 26,208 ",
PRK,55,,"Korea, Dem. People's Rep."," 26,069 ",
AUS,56,,Australia," 25,979 ",
BFA,57,,Burkina Faso," 22,674 ",
MLI,58,,Mali," 22,594 ",
LKA,59,,Sri Lanka," 22,181 ",
SYR,60,,Syrian Arab Republic," 22,125 ",
MWI,61,,Malawi," 20,405 ",
ZMB,62,,Zambia," 20,018 ",
KAZ,63,,Kazakhstan," 19,622 ",
CHL,64,,Chile," 19,604 ",
ROU,65,,Romania," 18,957 ",
ECU,66,,Ecuador," 18,001 ",
TCD,67,,Chad," 17,723 ",
NLD,68,,Netherlands," 17,703 ",
SOM,69,,Somalia," 17,598 ",
GTM,70,,Guatemala," 17,358 ",
SEN,71,,Senegal," 17,316 ",
KHM,72,,Cambodia," 16,768 ",
ZWE,73,,Zimbabwe," 16,321 ",
